app_id,lib_name,lib_type,TargetedAds,MobileAnalytics,Analytics,AnyTrackingLibrary
org.cryptosignals.bitcoin.free.wallet,Flurry,Analytics,False,False,True,True
org.cryptosignals.bitcoin.free.wallet,Bumptech,Utility,False,False,False,False
org.cryptosignals.bitcoin.free.wallet1,Squareup,Payment,False,False,False,False
org.cryptosignals.bitcoin.free.wallet1,Flurry,Analytics,False,False,True,True
org.cryptosignals.bitcoin.free.wallet1,Bumptech,Utility,False,False,False,False
org.cryptosignals.free.bitcoin.cash.wallet,Squareup,Payment,False,False,False,False
org.cryptosignals.free.bitcoin.cash.wallet,Flurry,Analytics,False,False,True,True
org.cryptosignals.free.bitcoin.cash.wallet,Bumptech,Utility,False,False,False,False
org.deuscoin.wallet,Adobe,Utility,False,False,False,False
org.deuscoin.wallet,Google Ads,Targeted ads,True,False,False,True
org.nativescript.mywallets,Google Ads,Targeted ads,True,False,False,True
org.strayacoin.bitcoinpos,Squareup,Payment,False,False,False,False
org.strayacoin.bitcoinpos,Google Ads,Targeted ads,True,False,False,True
org.strayacoin.litecoinpos,Squareup,Payment,False,False,False,False
org.strayacoin.litecoinpos,Google Ads,Targeted ads,True,False,False,True
paydeepp.elegro.io,Phonegap,Utility,False,False,False,False
paydeepp.elegro.io,Google Ads,Targeted ads,True,False,False,True
roseon.finance,Github,Utility,False,False,False,False
roseon.finance,Bumptech,Utility,False,False,False,False
roseon.finance,Google Ads,Targeted ads,True,False,False,True
starlab.studios.cryptowallet,Google Ads,Targeted ads,True,False,False,True
tech.central.ctocoin,Crashlytics,Utilities,False,False,False,False
tech.central.ctocoin,Facebook,Social networking service,False,False,False,False
tech.central.ctocoin,Google Ads,Targeted ads,True,False,False,True
urubit.uwallet.app,Kenai,Development aid,False,False,False,False
urubit.uwallet.app,Fasterxml,Utility,False,False,False,False
urubit.uwallet.app,Github,Utility,False,False,False,False
urubit.uwallet.app,Bumptech,Utility,False,False,False,False
urubit.uwallet.app,Squareup,Payment,False,False,False,False
com.hamrasta.hwallet,Google Ads,Targeted ads,True,False,False,True
hodl.group.xrpio,Facebook,Social networking service,False,False,False,False
hodl.group.xrpio,Google Ads,Targeted ads,True,False,False,True
com.magnum.wallet,Crashlytics,Utilities,False,False,False,False
com.magnum.wallet,Google Ads,Targeted ads,True,False,False,True
pt.ipleiria.estg.dei.yabw,Phonegap,Utility,False,False,False,False
de.schildbach.wallet.goldcoin,Squareup,Payment,False,False,False,False
com.thinkdevs.cryptomarket,Github,Utility,False,False,False,False
com.thinkdevs.cryptomarket,Squareup,Payment,False,False,False,False
com.thinkdevs.cryptomarket,Google Ads,Targeted ads,True,False,False,True
io.crypto.wallet.bitcoin.ethereum.medooza.wallet,Google Ads,Targeted ads,True,False,False,True
io.crypto.wallet.bitcoin.ethereum.medooza.wallet,Google Analytics,Mobile analytics,False,True,False,True
com.altcoin.wallet,Squareup,Payment,False,False,False,False
com.factwallet.crypto.factwallet,Bumptech,Utility,False,False,False,False
com.simple.crypto.wallet,Google Ads,Targeted ads,True,False,False,True
info.mysecurewallet.wallet,Intuit,Payment,False,False,False,False
info.mysecurewallet.wallet,Bumptech,Utility,False,False,False,False
com.lynengine.beautycryptowallet,Bumptech,Utility,False,False,False,False
com.lynengine.beautycryptowallet,Google Ads,Targeted ads,True,False,False,True
com.bitcoin.wallet.cryptopuce,Google Ads,Targeted ads,True,False,False,True
de.langerhans.wallet,Squareup,Payment,False,False,False,False
com.cryptowallet.si,Crashlytics,Utilities,False,False,False,False
